# AnimeGo develop@c7475dfc55a374cd0dd08821bf17125dab1e3145
# upstream_file|upstream_symbols|disposition|targets|reason
configs/check.go|const:UpdateDelaySecondMin,func:Check|replaced|src/AnimeGoNet.Core/Configuration/AnimeGoOptionsValidator.cs|The removed global refresh loop cannot be clamped; each retained schedule and retry boundary is validated independently.
configs/config.go|var:ConfigFile,func:InitDir,func:Load,func:Proxy|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs;src/AnimeGoNet.Core/Configuration/DirectoryLayout.cs;src/AnimeGoNet.App/Metadata/MetadataHttpClientFactory.cs|Strict YAML loading immutable directory layout and independent metadata proxies replace process globals and fatal exits.
configs/default.go|func:Config2Bytes,func:DefaultConfig,func:DefaultDoc,func:DefaultFile|replaced|src/AnimeGoNet.Core/Configuration/AnimeGoDefaults.cs;src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Typed safe defaults and an atomic annotated YAML writer replace the mutable singleton and bundled credentials.
configs/init.go|func:InitDefaultConfig,func:InitEnvConfig,func:InitUpdateConfig|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs;src/AnimeGoNet.App/AnimeGoApplication.cs|One startup pipeline creates migrates and layers YAML environment and command-line values without rewrite-and-exit.
configs/models.go|Advanced,Config,Environment,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.Core/Configuration/AnimeGoOptions.cs;src/AnimeGoNet.App/Configuration/DeploymentConfigurationLocks.cs;src/AnimeGo.Plugin.Abstractions/PluginContracts.cs|Closed immutable options deployment locks and compile-time C# plugins replace nested mutable structs and Python file descriptors.
configs/update.go|var:ConfigVersion,ConfigOnlyVersion,Version,func:UpdateConfig|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs;src/AnimeGoNet.App/Configuration/LegacyDeploymentConfigurationFile.cs|The exact 13-version allow-list migrates directly to canonical 1.7.1 with original-byte backup and atomic replacement.
configs/utils.go|func:BackupConfig,func:ConvertPluginInfo,func:Env2Config|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs;src/AnimeGoNet.App/Configuration/ConfigurationAliasResolver.cs;src/AnimeGo.Plugin.Abstractions/PluginContracts.cs|Atomic versioned backup provider precedence and typed plugin registration replace reflection over env tags and Python descriptors.
configs/version/v_110/models.go|Advanced,Config,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_120/models.go|Advanced,Config,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_130/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_140/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_141/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_150/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_151/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_152/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_160/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_161/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_162/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
configs/version/v_170/models.go|Advanced,Config,Plugin,PluginInfo,Setting|replaced|src/AnimeGoNet.App/Configuration/DeploymentYamlConfiguration.cs|Historical YAML shape is read only by the bounded legacy migration adapter.
