# AnimeGo develop@c7475dfc55a374cd0dd08821bf17125dab1e3145
# upstream_file|upstream_types|disposition|targets|reason
internal/constant/anisource.go|-|replaced|src/AnimeGoNet.Core/Metadata/TmdbContracts.cs;src/AnimeGoNet.Core/Feeds/MikanBangumiDiscovery.cs|Remote identifiers and thresholds belong to the owning metadata/source boundary.
internal/constant/client.go|TorrentState|replaced|src/AnimeGoNet.Core/Downloads/DownloadClientContracts.cs;src/AnimeGoNet.Core/Downloads/QbittorrentStateMapper.cs|Closed download states preserve raw qB state separately.
internal/constant/constant.go|-|replaced|src/AnimeGoNet.Core/Plugins/BuiltInPluginCatalog.cs;src/AnimeGoNet.App/Metadata/MetadataHttpClientFactory.cs|Python plugin constants are removed; user agent and built-ins are compile-time C# contracts.
internal/constant/database.go|-|replaced|src/AnimeGoNet.Data/Library/DirectoryDatabaseRecords.cs;src/AnimeGoNet.Data/Library/DirectoryDatabaseWriter.cs|Legacy sidecar names are isolated in the directory database adapter.
internal/constant/downloader.go|NotifyState|replaced|src/AnimeGoNet.Data/Downloads/DownloadJobRecords.cs|Notifications are durable typed download events instead of channel ordinals.
internal/constant/init.go|Options|replaced|src/AnimeGoNet.Core/Configuration/DirectoryLayout.cs|All data/cache/log/plugin/temp/web paths derive from one validated immutable layout.
internal/constant/parser.go|-|preserved|src/AnimeGoNet.Core/Metadata/TmdbSeasonFallbackSelector.cs|Default season remains explicit S01 fallback behavior.
internal/constant/plugin.go|-|replaced|src/AnimeGo.Plugin.Abstractions/PluginContracts.cs;src/AnimeGoNet.Core/Plugins/BuiltInPluginCatalog.cs|String function names become compile-time interfaces and built-in IDs.
internal/constant/renamer.go|-|replaced|src/AnimeGoNet.Data/Library/MediaOrganizationRecords.cs|Rename channel ordinals become durable organization states and leases.
internal/exceptions/anidata.go|ErrAniData,ErrAniDataGet,ErrAniDataParse,ErrAniDataSearch,ErrBangumiCacheNotFound,ErrMikanParseHTML,ErrThemoviedbMatchSeason,ErrThemoviedbSearchName|replaced|src/AnimeGoNet.Core/Metadata/TmdbClientException.cs;src/AnimeGoNet.App/Metadata/BangumiClientException.cs;src/AnimeGoNet.Core/Feeds/MikanBangumiSubjectParser.cs|Safe codes and MetadataFailureKind replace localized type-name matching.
internal/exceptions/client.go|ErrClient,ErrClientNoConnected|replaced|src/AnimeGoNet.Core/Downloads/DownloadClientContracts.cs;src/AnimeGoNet.App/Downloads/QbittorrentClient.cs|Connectivity is a typed snapshot or safe operation failure.
internal/exceptions/database.go|ErrDatabaseDBNotFound,ErrDatabaseDirNotFound,ErrDatabaseEpisodeExist|replaced|src/AnimeGoNet.Data/Library/DirectoryDatabaseRecords.cs;src/AnimeGoNet.Data/Library/CompletionRecordStore.cs|Not-found and duplicate are explicit query/claim outcomes.
internal/exceptions/downloader.go|ErrClientExistItem,ErrDownloadExist|replaced|src/AnimeGoNet.Data/Ingest/IngestTaskStore.cs;src/AnimeGoNet.Data/Library/CompletionRecordStore.cs|Duplicate downloader and completed Episode outcomes are persisted without exception control flow.
internal/exceptions/exceptions.go|ExistError,NotFoundError,ParseFailedError|replaced|src/AnimeGoNet.Core/Diagnostics/StableErrorCode.cs|StableErrorSemantic preserves wrapped marker behavior while normal outcomes stay non-exceptional.
internal/exceptions/feed.go|ErrFeed|replaced|src/AnimeGoNet.Core/Feeds/RssFeedContracts.cs|RSS parsing has bounded input and stable parse-failure codes.
internal/exceptions/plugin.go|ErrParseFailed,ErrPlugin,ErrPluginDisabled|replaced|src/AnimeGo.Plugin.Abstractions/PluginContracts.cs;src/AnimeGoNet.App/Plugins/ExternalPluginProtocol.cs|Typed built-in/external C# plugin results replace Python exceptions.
